ID,Keyword/Phrase,Category,Risk Level,Sample Context,Engagement Weight
1,break india,Separatist,Medium,Example usage of 'break india' in a post about separatist,1300
2,anti hindu,Cultural/Religious,High,Example usage of 'anti hindu' in a post about cultural/religious,603
3,#indiamustfall,Hashtags,High,Example usage of '#indiamustfall' in a post about hashtags,1137
4,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,78
5,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,3302
6,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,1891
7,secede from india,Separatist,High,Example usage of 'secede from india' in a post about separatist,4139
8,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4980
9,destroy delhi,Violent,High,Example usage of 'destroy delhi' in a post about violent,4457
10,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,1452
11,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,1234
12,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,4942
13,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,1620
14,#indiaterror,Hashtags,High,Example usage of '#indiaterror' in a post about hashtags,3339
15,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,2682
16,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,2501
17,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4881
18,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,496
19,#boycottindia,Hashtags,Low,Example usage of '#boycottindia' in a post about hashtags,2224
20,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,4228
21,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,1796
22,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,4827
23,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,2363
24,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,4139
25,#indiamustfall,Hashtags,High,Example usage of '#indiamustfall' in a post about hashtags,3572
26,anti hindu,Cultural/Religious,High,Example usage of 'anti hindu' in a post about cultural/religious,656
27,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,2270
28,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,3311
29,india spreading lies,Disinformation,High,Example usage of 'india spreading lies' in a post about disinformation,4342
30,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,837
31,stop diwali,Cultural/Religious,High,Example usage of 'stop diwali' in a post about cultural/religious,3364
32,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,2146
33,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,931
34,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,4715
35,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,419
36,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1592
37,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,1093
38,break india,Separatist,Medium,Example usage of 'break india' in a post about separatist,1245
39,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,1620
40,anti hindu,Cultural/Religious,Low,Example usage of 'anti hindu' in a post about cultural/religious,4135
41,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4080
42,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,3573
43,india spreading lies,Disinformation,High,Example usage of 'india spreading lies' in a post about disinformation,1964
44,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,1158
45,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,3672
46,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,711
47,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,4040
48,remove temples,Cultural/Religious,Medium,Example usage of 'remove temples' in a post about cultural/religious,4839
49,#indiaterror,Hashtags,Low,Example usage of '#indiaterror' in a post about hashtags,3898
50,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,2201
51,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,2193
52,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,3128
53,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,4686
54,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,761
55,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1025
56,resign pm,Anti-Government,High,Example usage of 'resign pm' in a post about anti-government,2322
57,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,756
58,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,4110
59,attack india,Violent,Low,Example usage of 'attack india' in a post about violent,562
60,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,4519
61,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,378
62,khalistan zindabad,Separatist,Low,Example usage of 'khalistan zindabad' in a post about separatist,3712
63,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,682
64,attack india,Violent,Low,Example usage of 'attack india' in a post about violent,2729
65,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,530
66,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,2705
67,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,1882
68,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,196
69,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1221
